G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Team,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/18,,Idaho State,W,120,79,41,70,0.586,8,24,0.333,30,37,0.811,12,37,29,9,4,7,14,Gonzaga,32,70,0.457,6,18,0.333,9,13,0.692,10,26,16,5,2,13,25
2,11/10/18,,Texas Southern,W,104,67,37,71,0.521,8,25,0.32,22,25,0.88,13,50,18,7,7,12,18,Gonzaga,24,70,0.343,7,26,0.269,12,18,0.667,8,28,12,6,3,15,22
3,11/15/18,,Texas A&M,W,94,71,32,65,0.492,7,21,0.333,23,32,0.719,11,40,16,8,10,11,20,Gonzaga,27,65,0.415,5,18,0.278,12,19,0.632,12,37,9,6,4,11,22
4,11/19/18,N,Illinois,W,84,78,27,51,0.529,7,19,0.368,23,35,0.657,10,41,16,5,5,21,22,Gonzaga,27,70,0.386,10,31,0.323,14,19,0.737,11,31,10,9,1,12,27
5,11/20/18,N,Arizona,W,91,74,34,64,0.531,9,29,0.31,14,21,0.667,9,36,22,8,4,12,22,Gonzaga,21,51,0.412,7,23,0.304,25,30,0.833,3,28,3,5,0,16,19
6,11/21/18,N,Duke,W,89,87,34,65,0.523,10,19,0.526,11,19,0.579,11,31,16,5,10,9,20,Gonzaga,31,72,0.431,5,13,0.385,20,26,0.769,17,39,9,5,6,10,18
7,11/26/18,,North Dakota State,W,102,60,37,58,0.638,15,28,0.536,13,19,0.684,4,34,25,8,5,8,13,Gonzaga,23,65,0.354,4,27,0.148,10,17,0.588,7,22,2,5,2,11,14
8,12/1/18,@,Creighton,W,103,92,35,67,0.522,11,29,0.379,22,27,0.815,11,39,18,7,3,8,13,Gonzaga,36,74,0.486,14,34,0.412,6,10,0.6,11,31,15,2,2,8,20
9,12/5/18,,Washington,W,81,79,27,63,0.429,8,20,0.4,19,19,1,13,37,21,4,1,9,16,Gonzaga,28,59,0.475,9,27,0.333,14,15,0.933,5,24,15,5,3,9,20
10,12/9/18,N,Tennessee,L,73,76,27,59,0.458,7,18,0.389,12,19,0.632,10,39,14,4,2,11,17,Gonzaga,29,72,0.403,12,29,0.414,6,10,0.6,16,38,22,2,4,7,16
11,12/15/18,@,UNC,L,90,103,32,63,0.508,8,22,0.364,18,23,0.783,4,20,17,13,4,14,20,Gonzaga,35,64,0.547,13,25,0.52,20,25,0.8,12,39,18,6,2,22,18
12,12/18/18,,Texas-Arlington,W,89,55,31,59,0.525,6,24,0.25,21,25,0.84,8,48,20,8,8,15,17,Gonzaga,19,71,0.268,8,34,0.235,9,11,0.818,7,27,11,10,0,10,21
13,12/21/18,,Denver,W,101,40,39,57,0.684,10,23,0.435,13,16,0.813,4,40,25,6,5,13,15,Gonzaga,16,65,0.246,2,18,0.111,6,10,0.6,10,26,8,4,0,12,15
14,12/28/18,,North Alabama,W,96,51,34,63,0.54,9,24,0.375,19,24,0.792,10,38,16,15,7,11,14,Gonzaga,18,55,0.327,4,19,0.211,11,20,0.55,5,28,6,4,2,16,19
15,12/31/18,,Cal State Bakersfield,W,89,54,30,58,0.517,10,26,0.385,19,28,0.679,9,31,16,8,5,11,17,Gonzaga,22,60,0.367,3,19,0.158,7,10,0.7,10,33,4,6,2,19,23
16,1/5/19,,Santa Clara,W,91,48,32,62,0.516,5,19,0.263,22,31,0.71,8,36,17,14,9,8,23,Gonzaga,17,51,0.333,4,17,0.235,10,22,0.455,6,31,7,1,1,20,23
17,1/10/19,,Pacific,W,67,36,23,53,0.434,6,24,0.25,15,19,0.789,4,32,12,8,6,11,15,Gonzaga,12,45,0.267,4,15,0.267,8,13,0.615,6,30,7,4,1,19,22
18,1/12/19,@,San Francisco,W,96,83,36,69,0.522,9,20,0.45,15,21,0.714,12,38,14,1,9,4,17,Gonzaga,28,69,0.406,8,25,0.32,19,25,0.76,14,36,9,1,2,5,21
19,1/17/19,,Loyola Marymount,W,73,55,28,55,0.509,7,23,0.304,10,14,0.714,10,33,16,8,5,16,12,Gonzaga,21,55,0.382,5,9,0.556,8,11,0.727,10,26,9,9,2,16,15
20,1/19/19,@,Portland,W,89,66,33,66,0.5,11,31,0.355,12,15,0.8,15,41,26,5,4,8,19,Gonzaga,22,46,0.478,7,23,0.304,15,22,0.682,1,20,13,2,0,12,20
21,1/24/19,@,Santa Clara,W,98,39,36,70,0.514,10,27,0.37,16,19,0.842,12,42,21,9,4,2,12,Gonzaga,13,48,0.271,3,18,0.167,10,15,0.667,3,25,5,1,3,18,16
22,1/31/19,@,BYU,W,93,63,37,63,0.587,10,20,0.5,9,14,0.643,9,40,21,5,4,9,12,Gonzaga,24,65,0.369,6,21,0.286,9,12,0.75,5,27,11,6,1,7,15
23,2/2/19,,San Diego,W,85,69,29,54,0.537,6,14,0.429,21,28,0.75,4,28,15,9,5,10,17,Gonzaga,24,52,0.462,10,23,0.435,11,16,0.688,4,24,11,6,1,14,21
24,2/7/19,,San Francisco,W,92,62,32,64,0.5,6,15,0.4,22,27,0.815,12,44,16,8,10,10,14,Gonzaga,26,67,0.388,5,16,0.313,5,12,0.417,9,30,9,8,2,10,19
25,2/9/19,,Saint Mary's,W,94,46,35,60,0.583,8,18,0.444,16,20,0.8,8,36,22,9,6,6,16,Gonzaga,15,58,0.259,1,13,0.077,15,19,0.789,8,25,1,3,2,10,14
26,2/14/19,@,Loyola Marymount,W,73,60,23,50,0.46,6,19,0.316,21,22,0.955,5,31,17,2,6,10,15,Gonzaga,25,66,0.379,1,14,0.071,9,16,0.563,13,30,14,5,3,5,19
